EN,EM,Description,Composition strategy,Attribute
mellow sunset,🌅😊,"[':sunrise:', ':smiling_face_with_smiling_eyes:']",Semantic list,PLEASANTNESS
serene spa,🧖‍♀️🪷,"[':woman_in_steamy_room:', ':lotus:']",Semantic list,PLEASANTNESS
joyful laughter,😆🎶,"[':grinning_squinting_face:', ':musical_notes:']",Semantic list,PLEASANTNESS
content day,😌☀️,"[':relieved_face:', ':sun:']",Semantic list,PLEASANTNESS
peaceful nap,🛏️💤,"[':bed:', ':zzz:']",Semantic list,PLEASANTNESS
satisfied mind,😀💭,"[':grinning_face:', ':thought_balloon:']",Semantic list,PLEASANTNESS
lighthearted joke,😄🤣,"[':grinning_face_with_smiling_eyes:', ':rolling_on_the_floor_laughing:']",Semantic list,PLEASANTNESS
grateful sigh,😇💨,"[':smiling_face_with_halo:', ':dashing_away:']",Semantic list,PLEASANTNESS
sunny weekend,🌻😃,"[':sunflower:', ':grinning_face_with_big_eyes:']",Semantic list,PLEASANTNESS
kind atmosphere,💕🤗,"[':two_hearts:', ':hugging_face:']",Semantic list,PLEASANTNESS
restful hammock,🌴🛌,"[':palm_tree:', ':bed:']",Semantic list,PLEASANTNESS
breezy walk,🚶‍♀️🍃,"[':woman_walking:', ':leaf_fluttering_in_wind:']",Semantic list,PLEASANTNESS
joyous party,🥳🎂,"[':partying_face:', ':birthday_cake:']",Semantic list,PLEASANTNESS
gentle rain,🌧️💧,"[':cloud_with_rain:', ':droplet:']",Semantic list,PLEASANTNESS
soothing bath,🛀🫧,"[':person_taking_bath:', ':bubbles:']",Semantic list,PLEASANTNESS
delightful chat,💬😃,"[':speech_balloon:', ':grinning_face_with_big_eyes:']",Semantic list,PLEASANTNESS
untroubled rest,😌🛋️,"[':relieved_face:', ':couch_and_lamp:']",Semantic list,PLEASANTNESS
cheery greeting,🙋‍♀️😄,"[':woman_raising_hand:', ':grinning_face_with_smiling_eyes:']",Semantic list,PLEASANTNESS
tame cat,🐱🪶,"[':cat_face:', ':feather:']",Semantic list,TAMENESS
gentle horse,🐎🤝,"[':horse:', ':handshake:']",Semantic list,TAMENESS
calm dog,🐶🪢,"[':dog_face:', ':knot:']",Semantic list,TAMENESS
docile sheep,🐑🌾,"[':sheep:', ':sheaf_of_rice:']",Semantic list,TAMENESS
obedient camel,🐫🪣,"[':camel:', ':bucket:']",Semantic list,TAMENESS
friendly pig,🐖💕,"[':pig:', ':two_hearts:']",Semantic list,TAMENESS
mild rabbit,🐰🥬,"[':rabbit_face:', ':leafy_green:']",Semantic list,TAMENESS
harmless turtle,🐢🍃,"[':turtle:', ':leaf_fluttering_in_wind:']",Semantic list,TAMENESS
peaceful deer,🦌🌲,"[':deer:', ':evergreen_tree:']",Semantic list,TAMENESS
sweet goat,🐐🧀,"[':goat:', ':cheese_wedge:']",Semantic list,TAMENESS
amiable cow,🐄🥛,"[':cow:', ':glass_of_milk:']",Semantic list,TAMENESS
well-trained dog,🦮🔗,"[':guide_dog:', ':link:']",Semantic list,TAMENESS
quiet donkey,🐎😶,"[':horse:', ':face_without_mouth:']",Semantic list,TAMENESS
gentle goose,🪿💧,"[':goose:', ':droplet:']",Semantic list,TAMENESS
obedient duck,🦆🎶,"[':duck:', ':musical_notes:']",Semantic list,TAMENESS
soft chicken,🐔🪶,"[':chicken:', ':feather:']",Semantic list,TAMENESS
calm fish,🐟🌊,"[':fish:', ':water_wave:']",Semantic list,TAMENESS
tamed fox,🦊💟,"[':fox:', ':heart_decoration:']",Semantic list,TAMENESS
gentle panda,🐼🍃,"[':panda_face:', ':leaf_fluttering_in_wind:']",Semantic list,TAMENESS
cordial mouse,🐭🏠,"[':mouse_face:', ':house:']",Semantic list,TAMENESS
brilliant scientist,👨‍🔬🔬,"[':man_scientist:', ':microscope:']",Semantic list,INTELLIGENCE
analytical mind,🤔🧠,"[':thinking_face:', ':brain:']",Semantic list,INTELLIGENCE
innovative engineer,👨‍💻💡,"[':man_technologist:', ':light_bulb:']",Semantic list,INTELLIGENCE
strategic planner,🗺️🧮,"[':world_map:', ':abacus:']",Semantic list,INTELLIGENCE
genius idea,🤯💡,"[':exploding_head:', ':light_bulb:']",Semantic list,INTELLIGENCE
wise owl,🦉🎓,"[':owl:', ':graduation_cap:']",Semantic list,INTELLIGENCE
brainy chat,🤓💬,"[':nerd_face:', ':speech_balloon:']",Semantic list,INTELLIGENCE
intellectual spark,🧠⚡,"[':brain:', ':high_voltage:']",Semantic list,INTELLIGENCE
knowledgeable teacher,👩‍🏫📖,"[':woman_teacher:', ':open_book:']",Semantic list,INTELLIGENCE
enlightened guru,🧘💡,"[':person_in_lotus_position:', ':light_bulb:']",Semantic list,INTELLIGENCE
smart coder,💻🧠,"[':laptop:', ':brain:']",Semantic list,INTELLIGENCE
curious student,👨‍🎓❓,"[':man_student:', ':question_mark:']",Semantic list,INTELLIGENCE
quick-witted reply,🗣️⚡,"[':speaking_head:', ':high_voltage:']",Semantic list,INTELLIGENCE
logical puzzle,🧩📝,"[':jigsaw:', ':memo:']",Semantic list,INTELLIGENCE
insightful query,🤔🤨,"[':thinking_face:', ':face_with_raised_eyebrow:']",Semantic list,INTELLIGENCE
advanced reading,📚🔎,"[':books:', ':magnifying_glass_tilted_right:']",Semantic list,INTELLIGENCE
scholarly pursuit,🏫📚,"[':school:', ':books:']",Semantic list,INTELLIGENCE
problem-solving,📝🧮,"[':memo:', ':abacus:']",Semantic list,INTELLIGENCE
deep analysis,🔬💭,"[':microscope:', ':thought_balloon:']",Semantic list,INTELLIGENCE
discovering truth,🔎💡,"[':magnifying_glass_tilted_left:', ':light_bulb:']",Semantic list,INTELLIGENCE
dry coast,🏝️🐚,"[':desert_island:', ':spiral_shell:']",Semantic list,WETNESS
arid plains,🏜️🌵,"[':desert:', ':cactus:']",Semantic list,WETNESS
moist grassland,🌾💧,"[':sheaf_of_rice:', ':droplet:']",Semantic list,WETNESS
swampy marsh,🦆🪣,"[':duck:', ':bucket:']",Semantic list,WETNESS
soaked clothes,👕💦,"[':t-shirt:', ':sweat_droplets:']",Semantic list,WETNESS
soggy shoes,👟🌧️,"[':running_shoe:', ':cloud_with_rain:']",Semantic list,WETNESS
drenched coat,🧥💦,"[':coat:', ':sweat_droplets:']",Semantic list,WETNESS
dry eyes,👁️🏜️,"[':eye:', ':desert:']",Semantic list,WETNESS
humid bayou,🐊🌫️,"[':crocodile:', ':fog:']",Semantic list,WETNESS
wet basement,🏚️💧,"[':derelict_house:', ':droplet:']",Semantic list,WETNESS
rain-soaked city,🌆☔,"[':cityscape_at_dusk:', ':umbrella_with_rain_drops:']",Semantic list,WETNESS
waterless pond,🫗🦆,"[':pouring_liquid:', ':duck:']",Semantic list,WETNESS
muddy ground,🤎🍂,"[':brown_heart:', ':fallen_leaf:']",Semantic list,WETNESS
overflowing river,🌊🚣,"[':water_wave:', ':person_rowing_boat:']",Semantic list,WETNESS
damp cave,🕳️💦,"[':hole:', ':sweat_droplets:']",Semantic list,WETNESS
glacial lake,🧊🏔️,"[':ice_cube:', ':snow-capped_mountain:']",Semantic list,WETNESS
steamy jungle,🌴♨️,"[':palm_tree:', ':hot_springs:']",Semantic list,WETNESS
flooded alley,🌧️🏙️,"[':cloud_with_rain:', ':cityscape:']",Semantic list,WETNESS
parched farmland,🚜🏜️,"[':tractor:', ':desert:']",Semantic list,WETNESS
misty morning,🌫️🌅,"[':fog:', ':sunrise:']",Semantic list,WETNESS
mighty punch,👊💥,"[':oncoming_fist:', ':collision:']",Semantic list,STRENGTH
solid rock,🪨✅,"[':rock:', ':check_mark_button:']",Semantic list,STRENGTH
robust shield,🛡️⚔️,"[':shield:', ':crossed_swords:']",Semantic list,STRENGTH
firm handshake,🤝💪,"[':handshake:', ':flexed_biceps:']",Semantic list,STRENGTH
sturdy support,🪵🧱,"[':wood:', ':brick:']",Semantic list,STRENGTH
tough armor,🛡️🦾,"[':shield:', ':mechanical_arm:']",Semantic list,STRENGTH
powerful engine,🚂💨,"[':locomotive:', ':dashing_away:']",Semantic list,STRENGTH
forceful wind,🌪️💥,"[':tornado:', ':collision:']",Semantic list,STRENGTH
unbreakable chain,⛓️💪,"[':chains:', ':flexed_biceps:']",Semantic list,STRENGTH
enduring mountain,⛰️🌐,"[':mountain:', ':globe_with_meridians:']",Semantic list,STRENGTH
vigorous athlete,🏋️‍♂️⚡,"[':man_lifting_weights:', ':high_voltage:']",Semantic list,STRENGTH
tight grip,✊🔒,"[':raised_fist:', ':locked:']",Semantic list,STRENGTH
robust structure,🏗️🧱,"[':building_construction:', ':brick:']",Semantic list,STRENGTH
heavy block,📦💪,"[':package:', ':flexed_biceps:']",Semantic list,STRENGTH
titanium frame,🔩🔧,"[':nut_and_bolt:', ':wrench:']",Semantic list,STRENGTH
resilient spirit,🔄💪,"[':counterclockwise_arrows_button:', ':flexed_biceps:']",Semantic list,STRENGTH
rugged trail,🏔️🏃,"[':snow-capped_mountain:', ':person_running:']",Semantic list,STRENGTH
firm foundation,🏛️🧱,"[':classical_building:', ':brick:']",Semantic list,STRENGTH
tough competitor,🤼💥,"[':people_wrestling:', ':collision:']",Semantic list,STRENGTH
immovable object,📌📏,"[':pushpin:', ':straight_ruler:']",Semantic list,STRENGTH
