EN,EM,Description,Composition strategy,Attribute
plentiful supply,🔆🔆,"[':bright_button:', ':bright_button:']",Reduplication,QUANTITY
scant resources,🔅🔅,"[':dim_button:', ':dim_button:']",Reduplication,QUANTITY
abundant stock,📦📦,"[':package:', ':package:']",Reduplication,QUANTITY
limited edition,❌❌,"[':cross_mark:', ':cross_mark:']",Reduplication,QUANTITY
excess items,♾️♾️,"[':infinity:', ':infinity:']",Reduplication,QUANTITY
minimum load,📉📉,"[':chart_decreasing:', ':chart_decreasing:']",Reduplication,QUANTITY
maximum capacity,📈📈,"[':chart_increasing:', ':chart_increasing:']",Reduplication,QUANTITY
countless reasons,🔢🔢,"[':input_numbers:', ':input_numbers:']",Reduplication,QUANTITY
very few,1️⃣1️⃣,"[':keycap_digit_one:', ':keycap_digit_one:']",Reduplication,QUANTITY
a handful,✋✋,"[':raised_hand:', ':raised_hand:']",Reduplication,QUANTITY
overabundance,🔔🔔,"[':bell:', ':bell:']",Reduplication,QUANTITY
ample supply,💲💲,"[':heavy_dollar_sign:', ':heavy_dollar_sign:']",Reduplication,QUANTITY
moderate count,🧮🧮,"[':abacus:', ':abacus:']",Reduplication,QUANTITY
tiny fraction,🔽🔽,"[':small_red_triangle_down:', ':small_red_triangle_down:']",Reduplication,QUANTITY
massive ship,🚢🚢,"[':ship:', ':ship:']",Reduplication,SIZE
tiny particle,🔬🔬,"[':microscope:', ':microscope:']",Reduplication,SIZE
gigantic crowd,🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':people_holding_hands:', ':people_holding_hands:']",Reduplication,SIZE
enormous statue,🗽🗽,"[':statue_of_liberty:', ':statue_of_liberty:']",Reduplication,SIZE
miniature figure,🧍🧍,"[':person_standing:', ':person_standing:']",Reduplication,SIZE
great whale,🐋🐋,"[':whale:', ':whale:']",Reduplication,SIZE
huge mountain,🏔️🏔️,"[':snow-capped_mountain:', ':snow-capped_mountain:']",Reduplication,SIZE
tiny footprint,👣👣,"[':footprints:', ':footprints:']",Reduplication,SIZE
colossal building,🏠🏠,"[':house:', ':house:']",Reduplication,SIZE
little ant,🐜🐜,"[':ant:', ':ant:']",Reduplication,SIZE
massive explosion,💥💥,"[':collision:', ':collision:']",Reduplication,SIZE
mini library,📚📚,"[':books:', ':books:']",Reduplication,SIZE
grand palace,🏰🏰,"[':castle:', ':castle:']",Reduplication,SIZE
small seed,🌱🌱,"[':seedling:', ':seedling:']",Reduplication,SIZE
great wave,🌊🌊,"[':water_wave:', ':water_wave:']",Reduplication,SIZE
minute detail,🔎🔎,"[':magnifying_glass_tilted_right:', ':magnifying_glass_tilted_right:']",Reduplication,SIZE
scorching sun,🥵🥵,"[':hot_face:', ':hot_face:']",Reduplication,TEMPERATURE
icy wind,🥶🥶,"[':cold_face:', ':cold_face:']",Reduplication,TEMPERATURE
lukewarm bath,🛁🛁,"[':bathtub:', ':bathtub:']",Reduplication,TEMPERATURE
freezing rain,🌨️🌨️,"[':cloud_with_snow:', ':cloud_with_snow:']",Reduplication,TEMPERATURE
mild climate,🌤️🌤️,"[':sun_behind_small_cloud:', ':sun_behind_small_cloud:']",Reduplication,TEMPERATURE
cool shade,🌳🌳,"[':deciduous_tree:', ':deciduous_tree:']",Reduplication,TEMPERATURE
warm beverage,☕☕,"[':hot_beverage:', ':hot_beverage:']",Reduplication,TEMPERATURE
heated argument,🔥🔥,"[':fire:', ':fire:']",Reduplication,TEMPERATURE
frosty reception,❄️❄️,"[':snowflake:', ':snowflake:']",Reduplication,TEMPERATURE
steamy sauna,🧖‍♂️🧖‍♂️,"[':man_in_steamy_room:', ':man_in_steamy_room:']",Reduplication,TEMPERATURE
chilly greeting,🥶🥶,"[':cold_face:', ':cold_face:']",Reduplication,TEMPERATURE
boiling point,♨️♨️,"[':hot_springs:', ':hot_springs:']",Reduplication,TEMPERATURE
tepid response,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,TEMPERATURE
sizzling plate,🍳🍳,"[':cooking:', ':cooking:']",Reduplication,TEMPERATURE
glacial pace,🧊🧊,"[':ice:', ':ice:']",Reduplication,TEMPERATURE
balmy breeze,💨💨,"[':dashing_away:', ':dashing_away:']",Reduplication,TEMPERATURE
dense fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS
thick smoke,💨💨,"[':dashing_away:', ':dashing_away:']",Reduplication,THICKNESS
thin layer,📄📄,"[':page_facing_up:', ':page_facing_up:']",Reduplication,THICKNESS
viscous slime,🦠🦠,"[':microbe:', ':microbe:']",Reduplication,THICKNESS
heavy mist,🌁🌁,"[':foggy:', ':foggy:']",Reduplication,THICKNESS
slight coating,🩹🩹,"[':adhesive_bandage:', ':adhesive_bandage:']",Reduplication,THICKNESS
fat wedge,🍰🍰,"[':shortcake:', ':shortcake:']",Reduplication,THICKNESS
narrow slice,🔪🔪,"[':kitchen_knife:', ':kitchen_knife:']",Reduplication,THICKNESS
chubby margin,📏📏,"[':straight_ruler:', ':straight_ruler:']",Reduplication,THICKNESS
thick crust,🍕🍕,"[':pizza:', ':pizza:']",Reduplication,THICKNESS
fine membrane,🥚🥚,"[':egg:', ':egg:']",Reduplication,THICKNESS
bulky padding,💺💺,"[':seat:', ':seat:']",Reduplication,THICKNESS
solid shield,🛡️🛡️,"[':shield:', ':shield:']",Reduplication,THICKNESS
hollow shell,🐚🐚,"[':spiral_shell:', ':spiral_shell:']",Reduplication,THICKNESS
layered pastry,🥐🥐,"[':croissant:', ':croissant:']",Reduplication,THICKNESS
robust barrier,🚧🚧,"[':construction:', ':construction:']",Reduplication,THICKNESS
loud noise,🔊🔊,"[':loudspeaker:', ':loudspeaker:']",Reduplication,VOLUME
soft whisper,🤫🤫,"[':shushing_face:', ':shushing_face:']",Reduplication,VOLUME
deafening roar,🦁🦁,"[':lion:', ':lion:']",Reduplication,VOLUME
faint echo,🌬️🌬️,"[':wind_face:', ':wind_face:']",Reduplication,VOLUME
blaring horn,📢📢,"[':loudspeaker:', ':loudspeaker:']",Reduplication,VOLUME
muted tone,🔇🔇,"[':mute:', ':mute:']",Reduplication,VOLUME
thunderous applause,👏👏,"[':clapping_hands:', ':clapping_hands:']",Reduplication,VOLUME
whispering hush,🤐🤐,"[':zipper_mouth_face:', ':zipper_mouth_face:']",Reduplication,VOLUME
ear-splitting scream,😱😱,"[':face_screaming_in_fear:', ':face_screaming_in_fear:']",Reduplication,VOLUME
inaudible murmur,😶😶,"[':face_without_mouth:', ':face_without_mouth:']",Reduplication,VOLUME
sonorous chant,🔔🔔,"[':bell:', ':bell:']",Reduplication,VOLUME
muffled cry,😢😢,"[':crying_face:', ':crying_face:']",Reduplication,VOLUME
booming bass,🎶🎶,"[':musical_notes:', ':musical_notes:']",Reduplication,VOLUME
shrill note,🎵🎵,"[':musical_note:', ':musical_note:']",Reduplication,VOLUME
echoing call,🗣️🗣️,"[':speaking_head:', ':speaking_head:']",Reduplication,VOLUME
quiet hum,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,VOLUME
heavy burden,🏋️🏋️,"[':person_lifting_weights:', ':person_lifting_weights:']",Reduplication,WEIGHT
light feather,🪶🪶,"[':feather:', ':feather:']",Reduplication,WEIGHT
weighing anchor,⚓⚓,"[':anchor:', ':anchor:']",Reduplication,WEIGHT
massive cargo,🚛🚛,"[':articulated_lorry:', ':articulated_lorry:']",Reduplication,WEIGHT
bulky package,📦📦,"[':package:', ':package:']",Reduplication,WEIGHT
light load,🧺🧺,"[':basket:', ':basket:']",Reduplication,WEIGHT
hefty equipment,🛢️🛢️,"[':oil_drum:', ':oil_drum:']",Reduplication,WEIGHT
substantial freight,🚢🚢,"[':ship:', ':ship:']",Reduplication,WEIGHT
slight baggage,🛍️🛍️,"[':shopping_bags:', ':shopping_bags:']",Reduplication,WEIGHT
weighty issue,⚖️⚖️,"[':balance_scale:', ':balance_scale:']",Reduplication,WEIGHT
light suitcase,🧳🧳,"[':luggage:', ':luggage:']",Reduplication,WEIGHT
laden cart,🛒🛒,"[':shopping_cart:', ':shopping_cart:']",Reduplication,WEIGHT
overloaded trunk,🚗🚗,"[':automobile:', ':automobile:']",Reduplication,WEIGHT
slim portfolio,💼💼,"[':briefcase:', ':briefcase:']",Reduplication,WEIGHT
heavy anchor,⚓⚓,"[':anchor:', ':anchor:']",Reduplication,WEIGHT
massive barbell,🏋️‍♂️🏋️‍♂️,"[':man_lifting_weights:', ':man_lifting_weights:']",Reduplication,WEIGHT
